Project ID,Project Status,Project Name,Street Number ,Street Name,Street Type,Zip Code,Supervisor District,City Analysis Neighborhood,Lead Agency,Program Area,Project Area,Project Type,Housing Tenure,Issuance of Notice to Proceed,Issuance of Building Permit,Issuance of First Construction Document,Estimated/Actual Construction Start Date,Estimated Construction Completion,Project Lead Sponsor,Project Co-Sponsor,Project Owner,Planning  Case Number,Property Informaiton Map Link,Planning Entitlements,Entitlement Approval,Section 415 Declaration,Project Units,Affordable Units,Market Rate Units,% Affordable,SRO Units,Studio Units,1bd Units,2bd Units,3bd Units,4bd Units,5+ bd Units,Mobility Units,Manager Units,Manager Unit(s) Type,Family Units,Senior Units,TAY Units,Homeless Units,Disabled Units,LOSP Units,Public Housing Replacement Units,20% AMI,30% AMI,40% AMi,50% AMI,55% AMI,60% AMI,80% AMI,90% AMI,100% AMI,105% AMI,110% AMI,120% AMI,130% AMI,150% AMI,AMI Undeclared,Latitude,Longitude,Location
2016-002,(3) Design with Entitlements Approved,"HPSY II-CPN, Block 10A",,Address not yet assigned,1899-12-31T00:00:00.000,94124,10,Bayview Hunters Point,OCII,Multifamily Rental Program,Candlestick Point,New Construction,Rental,07/01/2023,,,07/01/2023,06/01/2025,Tenderloin Neighborhood Development Corporation,Young Community Developers,"Candlestick 10a Associates, LP",Not Applicable,,,12/05/2017,,156,155,1,99,0,0,20,57,58,3,1,14,1,2bd,150,0,5,35,0,0,0,0,35,0,0,0,120,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-134,(1) Preliminary Phase,"CP-02 ""Outfield""",,Address not yet assigned,,94124,10,Bayview Hunters Point,OCII,OCII Inclusionary Rental Program,Candlestick Point,New Construction,Unknown,04/01/2022,,,04/01/2022,09/23/2023,,,,0,http://propertymap.sfplanning.org/?search=0,,,,579,58,521,10,0,0,0,0,0,0,0,0,0,,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
1992-006,(1) Preliminary Phase,Market Heights Apartments,1000,Tompkins,Ave,94110,9,Bernal Heights,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,,,,,Bernal Heights Neighborhood Center,,Bernal Heights Neighborhood Center,Not Yet Available,,,,,46,45,1,98,0,0,6,15,22,2,0,0,1,2bd,45,0,0,0,0,0,0,0,0,0,11,0,34,0,0,0,0,0,0,0,0,0,37.736327876,-122.410269179999,POINT (-122.410269179999 37.736327876)
2017-034,(5) First Construction Document Issued,2465 Van Ness,2465,Van Ness,Ave,94123,2,Marina,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,06/29/2018,12/19/2018,12/19/2018,02/11/2021,DM Development,,,2015-014058PRJ,http://propertymap.sfplanning.org/?search=2015-014058PRJ,"2015-014058CUA,2015-014058ENV,2015-014058PPA,2015-014058TDM,2015-014058VAR",12/14/2017,Off-site BMR Project (Small Sites)/Fee Payment,41,0,41,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.79822405,-122.424309063999,POINT (-122.424309063999 37.79822405)
2017-046,(1) Preliminary Phase,180 Jones (Land Dedication Site),180,Jones,St,94102,6,Tenderloin,MOHCD,Multifamily Rental Program,0,New Construction,Rental,09/30/2021,,,09/30/2021,07/01/2023,Tenderloin Neighborhood Development Corporation,,"180 Jones Associates, L.P.",Not Yet Available,,,,,72,71,1,99,0,71,0,0,0,0,0,0,1,studio,71,0,0,36,0,0,0,0,36,15,0,0,0,20,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2019-014,(1) Preliminary Phase,Laguna Honda Hospital Continuum of Care,375,Laguna Honda,Blvd,94131,7,Twin Peaks,MOHCD,Multifamily Rental Program,0,New Construction,Rental,,,,,,Developer not yet selected,,,0,http://propertymap.sfplanning.org/?search=0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-129,(3) Design with Entitlements Approved,CP-9a South,89,Harney Way,,94124,10,Bayview Hunters Point,OCII,Limited Equity Program,HP Shipyard Phase 2,New Construction,Ownership,07/01/2023,,,07/01/2023,12/23/2023,,,,0,http://propertymap.sfplanning.org/?search=0,,05/16/2017,,124,13,111,10,0,0,0,0,0,0,0,0,0,,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
1984-010,(6) Complete,South Beach Marina Apartments,2,Townsend,St,94107,6,Financial District/South Beach,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,,,,,"South Beach Marina , Inc.",,"South Beach Marina , Inc.",Not Applicable,,,,,414,101,313,24,0,0,53,48,0,0,0,0,0,,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,37.78240667,-122.389807907999,POINT (-122.389807907999 37.78240667)
2011-005,(6) Complete,1255-1275 Columbus,1255-1275,Columbus,Ave,94133,2,Russian Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,04/22/2014,12/07/2016,12/07/2016,02/14/2019,,,,2008.0723,http://propertymap.sfplanning.org/?search=2008.0723,"2008.0723E,2008.0723E_3,2008.0723E_4,2008.0723V",06/08/2011,Fee Payment,20,0,20,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.805603742,-122.418238739999,POINT (-122.418238739999 37.805603742)
2015-027,(5) First Construction Document Issued,1700 Market,1700,Market,St,94102,5,Hayes Valley,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,05/29/2018,03/14/2019,03/14/2019,05/07/2021,1700 Market Street LLC,,,2013.1179,http://propertymap.sfplanning.org/?search=2013.1179,"2013.1179C,2013.1179E,2013.1179U,2013.1179VAR",06/18/2015,On-site BMR Project,42,5,37,12,0,0,0,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2018-008,(4) Site Work Permit Issued,600 Van Ness,600,Van Ness,Ave,94102,6,Tenderloin,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,12/03/2018,,06/03/2019,07/27/2021,"Reuben, Junius & Rose, LLP",,,2015-012729PRJ,http://propertymap.sfplanning.org/?search=2015-012729PRJ,"2015-012729CUA,2015-012729ENV,2015-012729PPA,2015-012729SHD,2015-012729TDM",05/24/2018,On-site BMR Project,168,24,144,14,0,11,8,5,0,0,0,0,0,,24,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2018-037,(3) Design with Entitlements Approved,301 Grove,301,Grove,St,94102,5,Hayes Valley,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,07/01/2023,,,10/23/2020,12/17/2022,SFAR,,,2015-015133PRJ,http://propertymap.sfplanning.org/?search=2015-015133PRJ,,10/25/2018,Fee Payment,12,0,12,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2019-018,(3) Design with Entitlements Approved,95 Hawthorne St,95,Hawthorne,St,94105,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,09/17/2021,11/11/2023,Trammel Crow Residential,,"John Hancock Life Insurance Company, U.S.A.",2016-001794PRJ,http://propertymap.sfplanning.org/?search=2016-001794PRJ,Density Bonus,09/19/2019,On-site BMR Project,392,55,0,14,0,0,28,20,7,0,0,0,0,,55,0,0,0,0,0,0,0,0,0,32,0,0,11,0,0,0,12,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2011-035,(3) Design with Entitlements Approved,Parkmerced - Phase 2,3711,19th,Ave,94132,7,Lakeshore,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,,02/08/2013,06/29/2019,Maximus,,,2008.0021,http://propertymap.sfplanning.org/?search=2008.0021,"2008.0021C,2008.0021E,2008.0021E_11,2008.0021E_3,2008.0021E_5,2008.0021E_7,2008.0021E_9,2008.0021K,2008.0021M,2008.0021P,2008.0021T,2008.0021U,2008.0021U_3,2008.0021W,2008.0021Z",02/10/2011,"On-site BMR Project, Fee Payment",711,36,675,5,0,0,0,0,0,0,0,0,0,,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,37.717010014,-122.478923092999,POINT (-122.478923092999 37.717010014)
2016-009,(5) First Construction Document Issued,2100 Market,2100,Market,St,94114,8,Castro/Upper Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,12/29/2016,02/24/2017,02/24/2017,04/20/2019,Brian Spears Development (for self),,,2014.0519,http://propertymap.sfplanning.org/?search=2014.0519,"2014.0519CUA,2014.0519E,2014.0519PPA,2014.0519U,2014.0519VAR",02/04/2016,On-site BMR Project,60,7,53,12,0,1,3,3,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,37.767509426,-122.429431985999,POINT (-122.429431985999 37.767509426)
2014-001,(5) First Construction Document Issued,534 Natoma,534-536,Natoma,St,94103,6,South of Market,MOHCD,Small Sites Program,0,Rehabilitation,Rental,07/01/2017,05/06/2016,09/11/2018,09/11/2018,09/01/2019,San Francisco Community Land Trust,,San Francisco Community Land Trust,2015-001595PRJ,http://propertymap.sfplanning.org/?search=2015-001595PRJ,2015-001595VAR,,,5,5,0,100,0,0,4,1,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-004,(3) Design with Entitlements Approved,344-348 Precita,344-348,Precita,Ave,94110,9,Bernal Heights,MOHCD,Small Sites Program,0,Rehabilitation,Rental,01/01/2020,,,01/01/2020,07/01/2020,Mission Economic Development Agency,,"MEDA Precita Small Properties, LLC",Not Applicable,,,,,3,3,0,100,0,1,1,1,0,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-109,(3) Design with Entitlements Approved,1001 Van Ness,1001,Van Ness,Ave,94109,5,Western Addition,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,,,10/19/2018,12/12/2020,"Oryx Partners, LLC",,,2014.1305,http://propertymap.sfplanning.org/?search=2014.1305,"2014.1305CUA,2014.1305U",10/20/2016,Exempt Project,239,0,239,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.784929753,-122.421910844999,POINT (-122.421910844999 37.784929753)
2018-044,(5) First Construction Document Issued,654 Capp,654,Capp,St,94110,9,Mission,MOHCD,Small Sites Program,0,Rehabilitation,Rental,01/01/2019,,,01/01/2019,11/15/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,7,7,0,100,0,1,5,0,0,0,0,0,0,,7,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2014-008,(5) First Construction Document Issued,Transbay Block 1 (Affordable Project),160,Folsom,St,94105,6,Financial District/South Beach,OCII,Multifamily Rental Program,Transbay,New Construction,Ownership,05/01/2017,12/30/2016,05/25/2017,05/25/2017,02/01/2020,Tishman Speyer,,"Block One Property Holder, LP",Not Applicable,,,,,76,76,0,100,0,0,42,19,15,0,0,0,0,,76,0,0,0,0,0,0,0,0,0,0,0,0,25,26,25,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2015-043,(5) First Construction Document Issued,1532 Harrison,1532,Harrison,St,94103,6,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,07/28/2017,12/01/2017,12/01/2017,01/25/2020,"Joe Peters; Build, Inc.",,,2013.1390,http://propertymap.sfplanning.org/?search=2013.1390,"2013.1390CUA,2013.1390CUA_2,2013.1390E,2013.1390IKA,2013.1390PPA,2013.1390U",10/08/2015,On-site BMR Project,136,22,114,16,0,10,3,9,0,0,0,0,0,,22,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,37.770483896,-122.413316346999,POINT (-122.413316346999 37.770483896)
1980-001,(2) Predevelopment Feasibility,"Through Line (Concorcia, Bayside and Tower Hotel)",1204,Mason,St,94108,3,Chinatown,MOHCD,Bond Financed Multifamily Housing,0,Rehabilitation,Rental,,,,,,Chinatown Community Development Center,,,0,http://propertymap.sfplanning.org/?search=0,,,,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,POINT (0 0)
2019-017,(3) Design with Entitlements Approved,3314 Cesar Chavez St,3314,Cesar Chavez,St,94110,9,Mission,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,,,08/20/2021,10/14/2023,"RG-Architecture, Inc.",,,2014-003160PRJ,http://propertymap.sfplanning.org/?search=2014-003160PRJ,,08/22/2019,On-site BMR Project,57,11,0,19,0,0,6,5,0,0,0,0,0,,11,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,3,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-112,(3) Design with Entitlements Approved,524 Howard,524,Howard,St,94105,6,Financial District/South Beach,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,11/02/2018,12/26/2020,"J. Abrams Law, PC",,,2013.0882,http://propertymap.sfplanning.org/?search=2013.0882,"2013.0882DNX,2013.0882ENV,2013.0882SHD,2013.0882U,2013.0882VAR",11/03/2016,On-site BMR Project,334,50,284,15,0,0,0,0,0,0,0,0,0,,50,0,0,0,0,0,0,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,37.788223205,-122.397017402999,POINT (-122.397017402999 37.788223205)
2017-011,(4) Site Work Permit Issued,555 Howard,555,Howard,St,94105,6,Financial District/South Beach,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,11/28/2018,,05/29/2019,07/22/2021,Pacific Howard Corporation,,,2015-008058PRJ,http://propertymap.sfplanning.org/?search=2015-008058PRJ,"2015-008058CUA,2015-008058DNX,2015-008058ENV,2015-008058PPA,2015-008058SHD",03/02/2017,On-site BMR Project,69,10,59,14,0,0,3,5,2,0,0,0,0,,10,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,37.787380282,-122.396901953999,POINT (-122.396901953999 37.787380282)
2016-081,(3) Design with Entitlements Approved,"Block 48, Phase 1 (Blocks A, B, F, G, J)",898,La Salle,Ave,94124,10,Bayview Hunters Point,OCII,Limited Equity Program,HP Shipyard Phase 1,New Construction,Ownership,04/01/2020,,,04/01/2020,09/23/2021,,,,Not Applicable,,,03/03/2015,,174,25,149,14,0,0,9,15,1,0,0,0,0,,25,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,3,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2018-013,(3) Design with Entitlements Approved,2140 Market,2140,Market,St,94114,8,Castro/Upper Market,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,07/29/2020,09/22/2022,,,,2014-002035PRJ,http://propertymap.sfplanning.org/?search=2014-002035PRJ,"11148PRV,11461PRV,2014-002035CUA,2014-002035ENV,2014-002035PPA,2014-002035TDM,2014-002035VAR",07/31/2018,On-site BMR Project,33,3,30,9,0,0,0,0,3,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2019-020,(4) Site Work Permit Issued,42 Otis,42,Otis,St,94103,6,South of Market,MOHCD,Inclusionary Housing Program,0,New Construction,Ownership,,09/18/2019,,03/18/2020,05/12/2022,,,,2016-005406PRJ,http://propertymap.sfplanning.org/?search=2016-005406PRJ,,08/20/2019,,24,0,0,0,24,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2017-049,(2) Predevelopment Feasibility,Potrero Block B,,Address not yet assigned,,94107,10,Potrero Hill,MOHCD,HOPE SF,0,New Construction,Rental,10/01/2020,,,10/01/2020,12/01/2022,BRIDGE Housing Corporation,,"Potrero Housing Associates II, LP",0,http://propertymap.sfplanning.org/?search=0,,,,157,156,1,99,0,0,49,52,44,11,0,0,1,2bd,156,0,0,0,0,0,129,0,49,0,74,0,33,0,0,0,0,0,0,0,0,0,37.75169102,-122.397430562999,POINT (-122.397430562999 37.75169102)
2015-053,(5) First Construction Document Issued,1395 22nd,1395,22nd,St,94110,10,Potrero Hill,MOHCD,Inclusionary Housing Program,0,New Construction,Unknown,,05/18/2017,11/15/2017,11/15/2017,06/07/2019,"RMTEX22, LLC",,,2011.0671,http://propertymap.sfplanning.org/?search=2011.0671,"2011.0671E,2011.0671IKA,2011.0671PPA,2011.0671U,2011.0671X",12/03/2015,Fee Payment,250,0,250,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.756835579,-122.394539072999,POINT (-122.394539072999 37.756835579)
2016-049,(3) Design with Entitlements Approved,901 16th (related to 1200 17th),901,16th,St,94107,10,Mission Bay,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,05/11/2018,07/04/2020,"Potrero Partners, LLC",,,2011.1300,http://propertymap.sfplanning.org/?search=2011.1300,"2011.1300E,2011.1300K,2011.1300PPA,2011.1300U,2011.1300X",05/12/2016,On-site BMR Project,260,42,218,16,0,8,17,15,2,0,0,0,0,,42,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,0,0,0,0,0,0,37.765836629,-122.395688368999,POINT (-122.395688368999 37.765836629)
2017-001,(5) First Construction Document Issued,3800 Mission,3800,Mission,St,94110,8,Bernal Heights,MOHCD,Small Sites Program,0,Rehabilitation,Rental,03/19/2018,,,03/19/2018,04/15/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,5,5,0,100,0,1,4,0,0,0,0,0,0,,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2018-007,(3) Design with Entitlements Approved,429 Beale (aka 430 Main),429,Beale,St,94105,6,Financial District/South Beach,MOHCD,Inclusionary Housing Program,0,New Construction,Rental,,,,05/22/2020,07/16/2022,"Reuben, Junius & Rose, LLP",,,2014-002033PRJ,http://propertymap.sfplanning.org/?search=2014-002033PRJ,"2014-002033DNX,2014-002033ENV,2014-002033PPA,2014-002033TDM",05/24/2018,On-site BMR Project,144,19,125,13,0,8,3,8,0,0,0,0,0,,19,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2016-089,(1) Preliminary Phase,Transbay Block 2 East,,Address not yet assigned,,94105,6,Financial District/South Beach,OCII,Multifamily Rental Program,Transbay,New Construction,Rental,01/01/2022,,,01/01/2022,01/01/2024,Developer not yet selected,,Developer not yet selected,Not Applicable,,,,,169,168,1,99,0,0,0,0,0,0,0,0,1,,168,0,0,0,0,0,0,0,0,0,0,0,168,0,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
2017-014,(3) Design with Entitlements Approved,19 Precita,19-23,Precita,Ave,94110,9,Bernal Heights,MOHCD,Small Sites Program,0,Rehabilitation,Rental,05/28/2018,,,05/28/2018,06/14/2019,Mission Economic Development Agency,,"MEDA Small Properties, LLC",Not Applicable,,,,,3,3,0,100,0,0,0,0,3,0,0,0,0,,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,37.788578569571,-122.416591818,POINT (-122.416591818 37.7885785695712)
