Row No.,Housing Delivery Agency,Project Name:,Phase/ Bldg/Address/B+L,Total Units,100% Affordable Units,PTS BLDG Description+Additional Land Use Description,Permit Type,Building Permit No.,DBI Arrival/ Intake Date,Target Permit Issuance Date,Project Permit Status,Timing/ Priority Context,Planning,DBI,SFFD,Public Works,SFPUC,MOD,Housing Delivery Agency 1
11,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),"""Phase 2/Building C/200 Acacia St/4624/023""",4,-,"BLDG C. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION FOUR RESIDENTIAL UNITS BUILDING. BUILDING ON LOT 023, 024, 025 & 035.",Site Permit,201910225151,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),"""Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?""",Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
12,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),"""Phase 2/Building D/200 Acacia St/4624/023""",6,-,"BLDG D. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION SIX RESIDENTIAL UNITS BUILDING. BUILDING ON LOT 023, 024, 025 & 035.",Site Permit,201910225152,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),"""Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?""",Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
13,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),"""Phase 2/Building E/200 Acacia St/4624/023""",4,-,"BLDG E. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION FOUR RESIDENTIAL UNITS BUILDING. BUILDING ON LOT 023, 024, 025 & 035.",Site Permit,201910225153,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?,Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
14,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),"""Phase 2/Building F/200 Acacia St/4624/023""",4,-,"BLDG F. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION FOUR RESIDENTIAL UNITS BUILDING. BUILDING ON LOT 023, 024, 025 & 035.",Site Permit,201910225154,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?,Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
15,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),"""Phase 2/Building G/200 Acacia St/4624/023""",8,-,"BLDG G. SFHA PRORITY PROCESSING PROJECT, ERECT A FOUR STORY TYPE V CONSTRUCTION EIGHT RESIDENTIAL UNITS BUILDING. BUILDING ON LOT 023, 024, 025 & 035.",Site Permit,201910225155,2019-10-22T00:00:00.000,2020-03-22T00:00:00.000,Site Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?,Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,Step 6 of 8; review pending routing from other stations,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
16,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),Phase 2/Landscape/200 Acacia St/4624/02,-,-,"SUBMITTAL INCLUDES SITE WORK ON 200 ACACIA AVE (BLK 4624 LOT 023,024,025,035)",Landscape,201910225137S,2019-10-22T00:00:00.000,-,Landscape Permit open at step 1 (CPB) of 6,Start of construction Q4 FY 19-20,Step 2 of 6; review pending routing from Step 1 (CPB),Routed to Planning on 11/20/19 - Kimberly Durandet started 12/17/19. When will comments be issued?,-,Step 4 of 6; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,-,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
17,,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),Phase 2/Gates & Structures/200 Acacia St/4624/023,-,-,"SUBMITTAL INCLUDES SITE WORK ON 300 CATALINA ST (BLK 4624 LOT 054)""",Gates and Structures,201910225198S,2019-10-22T00:00:00.000,-,Gates & Structures Permit open at step 1 (CPB) of 8,Start of construction Q4 FY 19-20,Step 2 of 8; review pending routing from Step 1 (CPB),Routed to Rich Sucre on 11/20/19. When will plan review start? To be reassigned to Kimberly Durandet on 01/16/20.,Step 4 of 8; review pending routing from other stations,Step 5 of 8; review pending routing from other stations No BSM permits applied for yet. Nothing on file.,-,-,Bring Shadow Study to RPD Committee and Commission and CU Modification to Planning Commission in February 2020.
18,OEWD,HUNTERS VIEW HOPE SF - CITY VENTURES (MARKET-RATE),"Phase 1A-1 and 1A-2/ Block 6

242 Hahn Street/ 6311-001",167,167,"ERECT 5-STORY, TYPE 5-A OVER TYPE 1-A, 1 BASEMENT, 167 DWELLING UNITS, PARKING, OFFICES, COMMUNITY ROOM BUILDING; 100% Affordable, Public Housing Replacement Units",Addendum 3: Architectural & Landscape,201806202372,08/12/19,2020-05-12T00:00:00.000,"Addendum 3 open at step 8 of 9 (BLDG) arrived on 1/24/20

Site Permit issued on 2/15/19;

Addendum 1 (Foundation) issued on 11/25/19;

Addendum 2 (Structural) issued on 11/25/19",Start of construction 12/9/19,"Re-routed to Kimberly Durandet on 12/20/19;

When will review start and when will comments be issued?","Assigned to MECH Plan Checker Ortega Reynaldo started on 10/09/19;

Comments issued on 11/01/19 and further DBI review pending Developer Response.",SFFD completed review on 11/25/19,BSM Sign-off on 12/05/19,Step 6 of 9; review pending routing from other stations (currently with MECH-step/station 3),"MOD Plan Comments issued on 09/17/19 per 09/26/19 vertical permit meeting; and

Developer planning response this week of 12/02/19 or next. Was this received?","Developer to respond to MOD comments this week of 12/02/19 or next; and

Developer to respond to DBI-MECH comments"
19,OEWD,POTRERO HOPE SF,"Union Hall

n/a 32,100 SF Union Hall-Local 38 Uses  1629 Market Street/ 3505-032",-,-,"ERECT 4 STORIES OFFICE, ASSEMBLY TYPE IIIA BLDG w/ Type IA BASEMENT",Addendum 1: Foundation,201903194024,10/29/19,-,"Addendum 1 open at step 2 (BLDG) of 5; 

Site Permit issued on 03/27/19",Start of Construction Spring 2020,-,"Routed to BLDG on 10/29/19 and assigned to Min Chen on 10/29/19 with start on 11/12/19; Reassigned on 11/12/19 to Jimmy Cheung; reassigned on 11/25/19 to Michael Lee; reassigned  on 11/25/19 to Willy Yau; reassigned to Stephen Liu  on 01/07/20

When will Stephen Liu begin review?",-,"Step 3 of 5; review pending routing from other stations (currently with BLDG-step/station 2)

Permit 19IE-00773, 774, 777 and 19V-00037. Awaiting revisions. Comments sent on 11.13.2019.",-,-,Developer to resumbmit calculations on 01/16/20 or 01/17/20 and will notify Phillip Wong and James Zhan.
20,OEWD,SUNNYDALE HOPE SF,"Union Hall

n/a 32,100 SF Union Hall-Local 38 Uses  1629 Market Street/ 3505-032",-,-,"ERECT 4 STORIES OFFICE, ASSEMBLY TYPE IIIA BLDG w/ Type IA BASEMENT",Addendum 2: Superstructure,201903194024,10/29/19,-,"Addendum 2 open at step 2 (BLDG) of 5; 

Site Permit issued on 03/27/19",Start of Construction Spring 2020,-,"Routed to BLDG on 11/12/19. Reassigned on 11/25/19 to Willy Yau.

When will Willy Yau begin review?",-,"Step 3 (4) of 5 (6); review pending routing from other stations (currently with BLDG-step/station 2)

Permit 19IE-00773, 774, 777 and 19V-00037. Awaiting revisions. Comments sent on 11.13.2019.",-,-,-
21,OEWD,PLUMBER'S UNION,"Union Hall

n/a 32,100 SF Union Hall-Local 38 Uses  1629 Market Street/ 3505-032",-,-,"ERECT 4 STORIES OFFICE, ASSEMBLY TYPE IIIA BLDG w/ Type IA BASEMENT","Addendum 3: Architectural, MEP and Landscaping",201903194024,12/23/19,2020-09-23T00:00:00.000,"Addendum 3 open at step 2 (MECH), step 2 (BLDG) AND STEP 2 (SFFD) of 7; 

Site Permit issued on 03/27/19",Start of Construction Spring 2020,"Step 5 of 7; review pending routed from other stations (currently with MECH, BLDG, and SFFD, step/station 2)","Routed to MECH on 12/23/19, and assigned to Mohsin Shaikh. When will comments be issued?

Routed to BLDG on 12/23/19, and assigned to Kayi Zhang. When will comments be issued?","Routed to SFFD on 12/23/19.

When will Kamal Andrawes begin review? Chief Patt following up as of 01/16/20, expect comments back next week or the week after.","Step 3 of 7; review pending routed from other stations (currently with MECH, BLDG, and SFFD, step/station 2)

Permit 19IE-00773, 774, 777 and 19V-00037. Awaiting revisions. Comments sent on 11.13.2019.","Step 4 of 7; review pending routed from other stations (currently with MECH, BLDG, and SFFD, step/station 2)",-,Developer to respond to MECH comments issued on 01/14/20.
22,OEWD,PLUMBER'S UNION,"Union Hall

n/a 32,100 SF Union Hall-Local 38 Uses  1629 Market Street/ 3505-032",-,-,PRIORITY PLAN REVIEW: REF PA# 2018-0319-4024: TEMP SHORING CONSISTING OF DEEP SOIL MIX WALLS W/INTERNAL BRACING,Shoring Permit,201910305961,10/30/19,-,"Shoring Permit open at step 2 (CPB) of 6; 

Site Permit issued on 03/27/19",Start of Construction Winter 2020,-,"Routed to BLDG on 11/01/19.


When will Chu Liu began review on 01/16/20.",-,"Step 4 of 5; review pending routing from other stations (currently with CPB-step/station 2)

Permit 19IE-00773, 774, 777 and 19V-00037. Awaiting revisions. Comments sent on 11.13.2019.",-,-,-
23,OEWD,PLUMBER'S UNION,"Colton Affordable

53 Colton Street/3505-027",96,96,"TO ERECT 6 STORIES, 1 BASEMENT, TYPE III-A OVER I-A, 96 UNITS RESIDENTIAL WITH OFFICE, ASSEMBLY & PARKING BUILDING. (R-2,B,A-3,S-2) (MAYOR EXECTIVE DIR# 13-01 & 17-02)",Site Permit,201911127017,11/12/19,2020-04-12T00:00:00.000,"Site Permit open at step 2 (BLDG), step 3 (PLANNING), and step 4 (SFFD) of 9",Start of Construction Summer 2020,"APPROVED for Site Permit on 01/16/20.

Routed to Planning on 11/12/19.

When will Linda Ajello-Hoagland began review on 12/26/19.","Routed to BLDG on 11/12/19.

Carey McElroy started review on 12/20/19. Currently in-hold as of 12/20/19.

Were comments issued on 12/20/19 and pending Developer Response? James investigating as of 01/16/20.

James Addressing 30 Otis Project's use of 53 Colton for Shoring Permit (as of 01/16/20)?","Routed to SFFD on 11/12/19.


FPE Kamal Andrawes began review on 12/09/19. Comments issued on 12/13/19, pending Developer Response.","Step 5 of 9; review pending routing from other stations (currently with BLDG- step/station 2, Planning-step/station 3, and SFFD-step/station 4)

Emergency permit 18ECN-0042 expired on 02.01.2018. Inspector indicates not all affected lanes were paved. Marked and measured on 08.30.2019. Permits 18EXC-0421, 18N-0027 closed or expired.","Step 6 of 9; review pending routing from other stations (currently with BLDG- step/station 2, Planning-step/station 3, and SFFD-step/station 4)",No MOD Review as there will not be City or Public Funding (Erin Carson confirmed at the 01/16/20 meeting),Developer to respond to BLDG and SFFD Comments.
24,OEWD,PLUMBER'S UNION,"Building A

1629 Market Street/ 3505-032",190,190,"PARTIALLY DEMOLISH (E) BLDG. RETAINING THE HISTORIC MARKET ST FACADE & CONSTRUCT A 9 STORY RESIDENTIAL BLDG WITH GROUND LEVEL RETAIL & ONE LEVEL BELOW GRADE PARKING GARAGE. (LOTS 32/35); 190 market-rate units, 6,600 SF ground-level retail",Site Permit,201901039599,03/15/19,2019-08-15T00:00:00.000,Site Permit open at step 9 (PW-BSN) of 12,Start of Construction Winter 2020,"Site Permit approved by Planning on 4/23/19

Reassigned to Linda Ajello-Hoagland. Why?

Kate Conner to review and resolve as of 01/16/20.","Site Permit approved by DBI on 08/22/19

As of 01/16/20, can Addenda be submitted before site permit issuance?",Site permit approved by SFFD on 7/22/19 and on 10/01/19,"Site Permit approved by DPW-BSM on 7/23/19.

Assigned to Clinton Choy on 12/19/19. Why?

Javier Rivera to review and resolve as of 01/16/20.


Need resolution on Transformer Vault Locations.

Permit 19IE-00773, 774, 777 and 19V-00037. Awaiting revisions. Comments sent on 11.13.2019.",Siter Permit approved on 12/13/19,-,-
25,OEWD,PLUMBER'S UNION,"Building D

1125 Stevenson Street/ 3505-008",64,64,"TO ERECT A TYPE-1A, 9-STORY WITH ONE BASEMENT, 64-UNIT RESIDENTIAL, ASSEMBLY & PARKING; 64 market-rate units",Site Permit,201811145895,03/15/19,2019-08-15T00:00:00.000,"Site Permit open at step 3 (BLDG), step 5 (DPW-BSM), step 5 (SFFD) and step 6 (SFPUC) of 9/10",Start of Construction Winter 2020,Site permit approved 4/23/19,"Routed to BLDG on 04/23/19. Assigned to Howard Zee. Review began on 05/17/19. Comments issued on 06/12/19, pending Developer Response.","SFFD Comments from Kamal Andrawes sent to Developer on 07/09/19, pending Developer Response","""In hold"" since 07/11/19, pending Developer Response and Permit Application Submittal

Permit 19IE-00776 in Applicant status. Awaiting plan revisions. Comments sent 10.31.2019.
Vault permit applied for on 11.07.2019 and is awaiting BSM's review.","SFPUC comments provided on 07/12/19, pending Developer Response",-,"Developer needs to respond to SFPUC RFI, SFFD Comments, BLDG Comments, and needs to submit necessary Public Works permit applications"
26,OEWD,PLUMBER'S UNION,"Building B

1621 Market Street/ 3505-032A",185,185,"MAYOR DIR 17-02. TO ERECT 9 STORIES, 1 BASEMENT, TYPE I-A, 185 RESIDENTIAL UNITS, WITH RETAIL & PARKING. (R-2, M, S-2)",Site Permit,201905019456,05/15/19,2019-10-15T00:00:00.000,Site Permit open at step 3 (BLDG) and step 4 (SFFD) of 10,Start of Construction Winter 2020,Planning routed to BLDG on 08/29/19; will need to review at final routing,"Site Permit routed to DBI on 08/29/19. Carey McElroy began review on 09/30/19.

Comments issued on 11/05/19, pending Developer Response.","Kamal Andrawes began review on 09/19/19.

Comments issued on 09/24/19, pending developer response.","Routed to BSM on 11/26/19, site permit approval on 12/03/19.

Permit 19IE-00774 is in applicant status. Awaiting Master plan set of plans. Comment sent on 11.13.2019. 
Accompanying vault permit 19V-00038 in same status.",Routed to SFPUC on 12/04/19. Assigned to Jobel Garcia on 12/17/19. SFPUC RFI on 12/17/19.,-,"Developer needs to respond to SFFD Comments, SFPUC RFI, and BLDG Comments."
27,OEWD,PLUMBER'S UNION,"H-1 (415 Natoma)

n/a (670,000 SF Office)   415 Natoma/ 3725-008",-,-,"ERECT (N) 25-STORY COMMERCIAL BUILDING. MERGE LOT #005,006,008,009,098,012; 670,000 square feet office",Addendum 1: Foundation & Tower Crane,201806293425,08/08/19,-,"Addendum 1 open at step 2 (BLDG) of 5; 

Site Permit issued on 08/02/19","Start of Construction June 28, 2019",-,Status of Howard Zee's review: Pending EDRT Panel Determination and resolution of 12/30/19 comments. EDRT Completed. James Zhan following up with Howard Zee on status of review and approval as of 01/16/20.,-,"Routed to Rassendyll Dennis on 12/30/19, on-hold on 12/31/19.

Permit 19MSE-00387 approved on 08.02.2019.
Parking permit 19ADS-00096 is awaiting SFMTA review. Comments/request sent on 09.19.2019.
Excavation permit 19E-00853 expired on 08.26.2019.",-,-,Developer to respond to Howard Zee Comments and respond to BSM Permit Requirements.
28,OEWD,PLUMBER'S UNION,"H-1 (415 Natoma)

n/a (670,000 SF Office)       415 Natoma/ 3725-008",-,-,"ERECT (N) 25-STORY COMMERCIAL BUILDING. MERGE LOT #005,006,008,009,098,012; 670,000 square feet office",Addendum 2: Superstructure,201806293425,08/08/19,-,"Addendum 2 open at step 2/3 (BLDG) of 5; 

Site Permit issued on 08/02/19","Start of Construction June 28, 2019",-,Status of Howard Zee's review: Pending EDRT Panel Determination,-,"Step 3 of 5; review pending routing from other stations (currently with BLDG-step/station 3)

Permit 19MSE-00387 approved on 08.02.2019.
Parking permit 19ADS-00096 is awaiting SFMTA review. Comments/request sent on 09.19.2019.
Excavation permit 19E-00853 expired on 08.26.2019.",-,-,Information provided to EDRT Panel.
