Permit Number,Permit Type,Permit Type Definition,Permit Creation Date,Block,Lot,Street Number,Street Number Suffix,Street Name,Street Suffix,Unit,Unit Suffix,Description,Current Status,Current Status Date,Filed Date,Issued Date,Completed Date,First Construction Document Date,Structural Notification,Number of Existing Stories,Number of Proposed Stories,Voluntary Soft-Story Retrofit,Fire Only Permit,Permit Expiration Date,Estimated Cost,Revised Cost,Existing Use,Existing Units,Proposed Use,Proposed Units,Plansets,TIDF Compliance,Existing Construction Type,Existing Construction Type Description,Proposed Construction Type,Proposed Construction Type Description,Site Permit,Supervisor District,Neighborhoods - Analysis Boundaries,Zipcode,Location,Record ID,SF Find Neighborhoods,Current Police Districts,Current Supervisor Districts,Analysis Neighborhoods,:@computed_region_bh8s_q3mv,:@computed_region_yftq_j783,:@computed_region_rxqg_mtj9,:@computed_region_jx4q_fizf,:@computed_region_uruc_drv6
201301178164,8,otc alterations permit,01/17/2013,0627A,047,2200,,Sacramento,St,607,,remodel kitchen & bathrooms. remove non bearing wall between bedroom & living room.,issued,01/17/2013,01/17/2013,01/17/2013,,,,17,17,,,01/12/2014,3800,4500,apartments,126,apartments,126,2,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",129356776797,102,4,6,30,29490,13,1,6,11
201301178168,8,otc alterations permit,01/17/2013,0644,018,1677,,Sacramento,St,0,,"#8- install 5 vinyl windows in kind into existing frames. no change in size or location. windows do not face the street. if applicable, bedroom windows will comply with section cbc1026 for rescue. all windows will be double pane and have a u-factor of 0.30",complete,12/18/2013,01/17/2013,01/17/2013,12/18/2013,,,3,3,,,01/12/2014,2260,2260,apartments,14,apartments,14,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79129919862039, -122.42037341578607)",1293573413798,105,4,3,21,28858,13,10,6,2
201301228384,8,otc alterations permit,01/22/2013,0631,017,2620,,Sacramento,St,,,replace garage door with single garage door by removing center post.,filed,01/22/2013,01/22/2013,,,,,2,2,,,,7000,0,apartments,6,apartments,6,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78975592324026, -122.43683736852527)",129385876975,102,4,6,30,29490,13,1,9,11
M368347,8,otc alterations permit,01/25/2013,0222,009,1100,,Sacramento,St,,,street space,issued,01/25/2013,01/25/2013,01/25/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",1294381233026,16,6,3,21,28857,3,10,1,2
M368588,8,otc alterations permit,01/28/2013,0243,058,945,,Sacramento,St,,,street space & sidewalk permit,issued,01/28/2013,01/28/2013,01/28/2013,,,,,,,,,,1,,,,,,,,,,,,3,Chinatown,94108,"(37.792800505696, -122.40810904235967)",129449863469,16,6,3,6,28857,3,10,1,2
201301319203,8,otc alterations permit,01/31/2013,0221,124,1242,,Sacramento,St,6,,"kitchen remodel, to include replacing cabinets, appliances, install 5/8 type x on ceiling new lighting.",complete,04/29/2013,01/31/2013,01/31/2013,04/29/2013,,,3,3,,,01/26/2014,18000,18000,apartments,6,apartments,6,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94108,"(37.792698143394574, -122.41335948064625)",129485162937,16,6,3,21,28857,5,10,1,2
M369327,8,otc alterations permit,02/01/2013,0622,009,1750,,Sacramento,St,0,,street space permit,issued,02/01/2013,02/01/2013,02/01/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94109,"(37.79166235817459, -122.4217505964759)",1294980399724,105,4,3,21,28858,13,10,6,2
201302019339,8,otc alterations permit,02/01/2013,0218,014,1560,,Sacramento,St,0,,"see attached termite report #13147, item #1",complete,11/10/2014,02/01/2013,02/01/2013,11/10/2014,,,3,3,,,01/27/2014,38000,38000,apartments,42,apartments,42,0,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.7920373645138, -122.41865113644748)",1295029420210,16,6,3,21,28858,5,10,1,2
201302079647,8,otc alterations permit,02/07/2013,0237,016,353,,Sacramento,St,,,12th and 13th floors:add 2 abbressable relay modules to extg fire alarm system.,complete,12/09/2013,02/07/2013,02/07/2013,12/09/2013,,,23,23,,Y,02/02/2014,1500,1500,office,,office,,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.79405271203426, -122.39975157573498)",129541763383,108,6,3,8,28860,4,10,1,2
201302119898,8,otc alterations permit,02/11/2013,0220,020,1356,,Sacramento,St,,,"voluntary install 3 new steel beams at garage with new footings, no additional habitabel space",complete,12/31/2013,02/11/2013,02/15/2013,12/31/2013,,,3,3,,,02/10/2014,17000,17000,apartments,3,apartments,3,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79238289976218, -122.41527314698766)",129574762834,16,6,3,21,28858,5,10,1,2
201302119898,8,otc alterations permit,02/11/2013,0220,020,1360,,Sacramento,St,,,"voluntary install 3 new steel beams at garage with new footings, no additional habitabel space",complete,12/31/2013,02/11/2013,02/15/2013,12/31/2013,,,3,3,,,02/10/2014,17000,17000,apartments,3,apartments,3,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79238289976218, -122.41527314698766)",1295748273266,16,6,3,21,28858,5,10,1,2
M371247,8,otc alterations permit,02/12/2013,0630,057,2542,,Sacramento,St,303,,street space permit  (201211284998),issued,02/12/2013,02/12/2013,02/12/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78999028767414, -122.43498011140326)",129598676949,102,4,6,30,29490,13,1,6,11
201302130120,8,otc alterations permit,02/13/2013,0630,015,2554,,Sacramento,St,,,"unit #4:  remove & repl bathroom tub, tub/shower valve, toilet, vanity, faucet, install heated tile floor, install new furnace; install new tankless water heater, prime & paint bathrm, 1 bathrm & 1 unit",complete,06/28/2013,02/13/2013,02/13/2013,06/28/2013,,,3,3,,,02/08/2014,28000,28000,apartments,4,apartments,4,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78997842765163, -122.43507409832878)",1296036280998,102,4,6,30,29490,13,1,6,11
201302150325,8,otc alterations permit,02/15/2013,1022,022,3239,,Sacramento,St,,,revision to 201212126031. replace existing footings and partial foundation,complete,06/10/2013,02/15/2013,02/19/2013,06/10/2013,,,2,2,,,02/14/2014,10000,10000,1 family dwelling,0,1 family dwelling,0,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94115,"(37.78800188030166, -122.44623212445869)",1296302469026,10,8,6,31,29490,13,1,9,11
201302150360,8,otc alterations permit,02/15/2013,0639,045,2151,,Sacramento,St,4,,"kktchen relocation, remodel 2 baths, new cabinets, tile, plumbing & electrical. replace 5 windows (in kind), not visible from street. investigate dry rot, revision to pa# 201301077380.",complete,08/08/2013,02/15/2013,02/15/2013,08/08/2013,,,3,3,,,02/10/2014,45000,45000,apartments,4,apartments,4,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94109,"(37.790291384738254, -122.42821505934837)",129635377338,102,4,6,30,28858,13,1,6,11
M372014,8,otc alterations permit,02/19/2013,0624,003B,1930,,Sacramento,St,,,street space,issued,02/19/2013,02/19/2013,02/19/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94109,"(37.79127503897592, -122.42479087510985)",1296417236008,102,4,6,30,28858,13,1,6,11
M372027,8,otc alterations permit,02/19/2013,0222,009,1100,,Sacramento,St,,,street space,issued,02/19/2013,02/19/2013,02/19/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",1296427233026,16,6,3,21,28857,3,10,1,2
201302210652,8,otc alterations permit,02/21/2013,1004,009,2912,,Sacramento,St,,,"interior renovation to 2nd floor level, header replacement & interior column removal. remodel (e) bathroom & kitchen",complete,02/18/2014,02/21/2013,02/25/2013,02/18/2014,,,3,3,,,02/20/2014,20000,80000,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78917854562329, -122.44134070511424)",129674786765,102,8,6,30,29490,13,1,9,11
201302220820,8,otc alterations permit,02/22/2013,0222A,043,1170,,Sacramento,St,12,C,"new upper kitchen cabinets, new closet cabinets. no structural work.",complete,07/08/2013,02/22/2013,02/25/2013,07/08/2013,,,19,19,,,02/20/2014,15000,15000,apartments,73,apartments,73,0,,1,constr type 1,1,constr type 1,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",129694963052,16,6,3,21,28857,3,10,1,2
M373487,8,otc alterations permit,02/25/2013,0222,009,1100,,Sacramento,St,,,street space permit,issued,02/25/2013,02/25/2013,02/25/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",1297046233026,16,6,3,21,28857,3,10,1,2
201302250891,8,otc alterations permit,02/25/2013,0222,009,1100,,Sacramento,St,,,unit#208 interior remodeling of unit 208 only. includes a (n) door (rated) and wall (rated). add (n) exterior door @ (e) window opening. add two steps to (new) door. fire alarm & sprinklers under separate permit.,complete,01/24/2014,02/25/2013,04/30/2013,01/24/2014,,,10,10,,,04/25/2014,1000,3000,apartments,33,apartments,33,2,,2,constr type 2,2,constr type 2,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",1297055233026,16,6,3,21,28857,3,10,1,2
201302281150,3,additions alterations or repairs,02/28/2013,1023,001,3103,,Sacramento,St,,,"change of use. retail to preschool. incl new handicap restrooms, kitchenette and storage areas. electical, plumbing, structural strengthening and fire alarm as req.",complete,05/15/2014,02/28/2013,07/19/2013,05/15/2014,08/02/2013,,2,2,,,07/03/2016,40000,129300,retail sales,1,school,1,2,,5,wood frame (5),5,wood frame (5),Y,2,Pacific Heights,94115,"(37.78840836962428, -122.44421395195295)",129737787383,102,8,6,30,29490,13,1,9,11
M374507,8,otc alterations permit,02/28/2013,1023,036,3109,,Sacramento,St,,,street space,issued,02/28/2013,02/28/2013,02/28/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.788227299376224, -122.44440732569184)",129742987413,102,8,6,30,29490,13,1,9,11
M374547,8,otc alterations permit,02/28/2013,1022,022,3239,,Sacramento,St,,,street space & mta,issued,02/28/2013,02/28/2013,02/28/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94115,"(37.78800188030166, -122.44623212445869)",1297439469026,10,8,6,31,29490,13,1,9,11
201303061589,8,otc alterations permit,03/06/2013,0220,020,1356,,Sacramento,St,,,"remodel existing kitchen & bath per plan. add bathroom at 3rd fl. replace existing furnace and ductwork in same location at attic. replace exisitng (leaking) skylight, in hallway and add new skylight at bathroom, replace existing windows in kind per plan, not visible from street. new skylight.",complete,08/26/2013,03/06/2013,03/06/2013,08/26/2013,,,3,3,,,03/01/2014,35000,35000,apartments,3,apartments,3,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79238289976218, -122.41527314698766)",129795562834,16,6,3,21,28858,5,10,1,2
201303061589,8,otc alterations permit,03/06/2013,0220,020,1360,,Sacramento,St,,,"remodel existing kitchen & bath per plan. add bathroom at 3rd fl. replace existing furnace and ductwork in same location at attic. replace exisitng (leaking) skylight, in hallway and add new skylight at bathroom, replace existing windows in kind per plan, not visible from street. new skylight.",complete,08/26/2013,03/06/2013,03/06/2013,08/26/2013,,,3,3,,,03/01/2014,35000,35000,apartments,3,apartments,3,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79238289976218, -122.41527314698766)",1297956273266,16,6,3,21,28858,5,10,1,2
201303061613,8,otc alterations permit,03/06/2013,0627A,003,2200,,Sacramento,St,103,,"remodel 2 bathrooms & kitchen in kind, new electrical plumbing sheetrock tile fixtures and paint 5/8 type x drywall.",issued,03/06/2013,03/06/2013,03/06/2013,,,,17,17,,,03/01/2014,50000,40000,apartments,126,apartments,126,0,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",129799276753,102,4,6,30,29490,13,1,6,11
201303061631,3,additions alterations or repairs,03/06/2013,0222,009,1100,,Sacramento,St,,,t.i. of basement only. scope includes adding one ada complaint single accomodation bathroom at basement level. scope also includes converting an extg storage room to an office occupancy b use at basement level.this storage use is ancillary to the main bldg occupancy. sprinklered throughout.,issued,12/13/2013,03/06/2013,12/13/2013,,,,10,10,,,12/08/2014,5000,10500,apartments,33,apartments,33,2,,2,constr type 2,2,constr type 2,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",1298019233026,16,6,3,21,28857,3,10,1,2
201303071743,8,otc alterations permit,03/07/2013,1023,029,3169,,Sacramento,St,,,to obtain final inspection for work approved under pa 200801102194; all work is complete,complete,08/16/2013,03/07/2013,03/07/2013,08/16/2013,,,4,4,,,03/02/2014,1,1,apartments,3,apartments,3,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78815120079336, -122.44500528456767)",129815287409,102,8,6,30,29490,13,1,9,11
201303071743,8,otc alterations permit,03/07/2013,1023,029,3173,,Sacramento,St,,,to obtain final inspection for work approved under pa 200801102194; all work is complete,complete,08/16/2013,03/07/2013,03/07/2013,08/16/2013,,,4,4,,,03/02/2014,1,1,apartments,3,apartments,3,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78815120079336, -122.44500528456767)",1298153281066,102,8,6,30,29490,13,1,9,11
201303081852,8,otc alterations permit,03/08/2013,0248,027A,1429,,Sacramento,St,,,revision to app#201207275954. replacing and completing roof deck and railings.,complete,04/22/2013,03/08/2013,03/12/2013,04/22/2013,,,2,2,,,03/07/2014,2000,2000,1 family dwelling,1,1 family dwelling,1,2,,5,wood frame (5),5,wood frame (5),,3,Nob Hill,94109,"(37.79180397623838, -122.41651459264385)",129828463581,16,6,3,21,28858,5,10,1,2
M378887,8,otc alterations permit,03/18/2013,1007,011,3228,,Sacramento,St,,,street space permit,issued,03/18/2013,03/18/2013,03/18/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94115,"(37.78856145735553, -122.44618810335785)",129908186897,10,8,6,31,29490,13,1,9,11
201303212692,8,otc alterations permit,03/21/2013,0228,010,560,,Sacramento,St,,,"1st floor - add 3 pendent sprinklers, relocate 5 pendent sprinklers to existing sprinkler system for t.i. ref pa# 201211083866",complete,07/22/2013,03/21/2013,03/21/2013,07/22/2013,,,4,4,,Y,03/16/2014,2500,5000,office,,office,,2,,3,constr type 3,3,constr type 3,,3,Chinatown,94111,"(37.79408238657233, -122.40241559541198)",129940063327,108,6,3,6,28860,3,10,1,2
201303252900,8,otc alterations permit,03/25/2013,0627A,047,2200,,Sacramento,St,607,,"apt #607. revision to pa# 201301178164.  enclose (e0 deck w/(n) window/sl. door system & replace all exterior windows & sl. doors. remodel kitchen & (2) baths, install laundry hook up at hall closet. reconfigure walls at hall & bedrooms.",filed,03/25/2013,03/25/2013,,,,,17,17,,,,59000,0,apartments,126,apartments,126,2,,1,constr type 1,1,constr type 1,,2,Pacific Heights,94115,"(37.79068140052473, -122.42949844457807)",129966076797,102,4,6,30,29490,13,1,6,11
M380370,8,otc alterations permit,03/25/2013,0222A,103,1170,,Sacramento,St,,,street space permit,issued,03/25/2013,03/25/2013,03/25/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",129968563082,16,6,3,21,28857,3,10,1,2
M380447,8,otc alterations permit,03/25/2013,1011,009,3634,,Sacramento,St,,,street space & mta parking  meter,issued,03/25/2013,03/25/2013,03/25/2013,,,,,,,,,,1,,,,,,,,,,,,2,Presidio Heights,94118,"(37.7877410582107, -122.45263002419829)",1299698259595,10,8,6,31,54,11,1,9,11
201303263072,8,otc alterations permit,03/26/2013,0635,029,2537,,Sacramento,St,,,"kitchen: replace countertop, sink and dw, all roughs to stay. lower bath: r/r tub, vanity, toilet & shower, all roughs to remain.",issued,03/26/2013,03/26/2013,03/26/2013,,,,2,2,,,03/21/2014,28000,28000,2 family dwelling,7,2 family dwelling,7,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78944170530511, -122.43492569823134)",129989977154,102,4,6,30,29490,13,1,6,11
201303273102,8,otc alterations permit,03/27/2013,1007,017,3296,,Sacramento,St,,,as builts record drawings per inspector request. refer to pa# 2012-1026-2913.,complete,04/02/2013,03/27/2013,03/27/2013,04/02/2013,,,2,2,,Y,03/22/2014,1,1,lending institution,0,lending institution,0,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94115,"(37.78843934593192, -122.44684463578591)",1299922390349,10,8,6,31,29490,13,1,9,11
201303273149,8,otc alterations permit,03/27/2013,1011,006,3616,,Sacramento,St,,,"comply with physical inspection report #cc-7230. comply with complaint #200003152. remove extg ground level ""wet bar"" sink.",complete,07/19/2013,03/27/2013,03/27/2013,07/19/2013,,,3,3,,,03/22/2014,499,6500,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78773615504753, -122.45236621656346)",129997087041,10,8,6,31,54,11,1,9,11
201303273149,8,otc alterations permit,03/27/2013,1011,006,3618,,Sacramento,St,,,"comply with physical inspection report #cc-7230. comply with complaint #200003152. remove extg ground level ""wet bar"" sink.",complete,07/19/2013,03/27/2013,03/27/2013,07/19/2013,,,3,3,,,03/22/2014,499,6500,2 family dwelling,2,2 family dwelling,2,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78773615504753, -122.45236621656346)",1299971366289,10,8,6,31,54,11,1,9,11
M381327,8,otc alterations permit,03/27/2013,0222,009,1100,,Sacramento,St,,,street space,issued,03/27/2013,03/27/2013,03/27/2013,,,,,,,,,,1,,,,,,,,,,,,3,Nob Hill,94108,"(37.79294651184879, -122.41140684124001)",1299990233026,16,6,3,21,28857,3,10,1,2
201303283266,8,otc alterations permit,03/28/2013,1007,014,3252,,Sacramento,St,,,"vacant commercial space, patching of walls & ceiling for mechanical  & electrical repair. remove illegal wiring & replace w/plugs & switches to code. two furnaces, reglaze cracked front display window. replace w/c. will comply with nov #201391172.",complete,12/24/2013,03/28/2013,03/28/2013,12/24/2013,,,2,2,,,03/23/2014,10000,10000,retail sales,2,retail sales,2,0,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94115,"(37.78852574671756, -122.44646857311267)",1300123352240,10,8,6,31,29490,13,1,9,11
201304023603,8,otc alterations permit,04/02/2013,1003,011,2820,,Sacramento,St,,,"remodel bath & kitchen in both units, remove & replace hardwood floor, interior painting.",complete,12/19/2013,04/02/2013,04/02/2013,12/19/2013,,,3,3,,,03/28/2014,45000,45000,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78941925861583, -122.4394493875683)",130052186725,102,4,6,30,29490,13,1,9,11
201304023603,8,otc alterations permit,04/02/2013,1003,011,2822,,Sacramento,St,,,"remodel bath & kitchen in both units, remove & replace hardwood floor, interior painting.",complete,12/19/2013,04/02/2013,04/02/2013,12/19/2013,,,3,3,,,03/28/2014,45000,45000,2 family dwelling,2,2 family dwelling,2,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.78941925861583, -122.4394493875683)",1300522362250,102,4,6,30,29490,13,1,9,11
201304043778,8,otc alterations permit,04/04/2013,1026,001,2801,,Sacramento,St,0,,"unit #1-remove (e) kitchen cabinets, install new cabinets, sink & fuacet. remove (e) bathtub, water closet & faucet. install new bathtub, new water closet, new faucet. remove (e) bathroom shower faucet & water closet. install new shoer faucet & water closet",complete,08/02/2013,04/04/2013,04/04/2013,08/02/2013,,,4,4,,,03/30/2014,10000,10000,apartments,6,apartments,6,0,,5,wood frame (5),5,wood frame (5),,2,Pacific Heights,94115,"(37.789029297340015, -122.43919518953449)",1300746403071,102,4,6,30,29490,13,1,9,11
201304084010,8,otc alterations permit,04/08/2013,0237,014,353,,Sacramento,St,,,"demo selected non structural partitions, construct new non structural partitions at one office. reconfigure selected extg lights in extg acoustical ceiling. install new electrical, data, telephone, modify extg break room. mep/sprinkler under separate permit.",complete,08/20/2013,04/08/2013,04/10/2013,08/20/2013,,,23,23,,,04/05/2014,16000,41000,office,0,office,0,2,,1,constr type 1,1,constr type 1,,3,Financial District/South Beach,94111,"(37.793939246651824, -122.3997359594495)",130104863381,108,6,3,8,28860,4,10,1,2
201304094080,8,otc alterations permit,04/09/2013,1011,009,3638,,Sacramento,St,0,,"rear bldg - change of use form office to skincare, no massages, no change to occupancy, t.i. to include installation of non-structural partitions. air supply & electrical under separate permit.",complete,05/09/2013,04/09/2013,04/10/2013,05/09/2013,,,1,1,,,04/05/2014,3500,3500,office,0,barber/beauty salon,0,2,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.7877410582107, -122.45263002419829)",1301132410302,10,8,6,31,54,11,1,9,11
201304094090,4,sign - erect,04/09/2013,1011,009,3638,,Sacramento,St,0,,erect a non-electric single faced wall sign,complete,05/08/2013,04/09/2013,04/10/2013,05/08/2013,,,1,,,,04/05/2014,200,200,barber/beauty salon,,,,2,,5,wood frame (5),,,,2,Presidio Heights,94118,"(37.7877410582107, -122.45263002419829)",1301142410302,10,8,6,31,54,11,1,9,11
M384388,8,otc alterations permit,04/10/2013,1004,009,2912,,Sacramento,St,,,street space,issued,04/10/2013,04/10/2013,04/10/2013,,,,,,,,,,1,,,,,,,,,,,,2,Pacific Heights,94115,"(37.78917854562329, -122.44134070511424)",130128686765,102,8,6,30,29490,13,1,9,11
201304174805,8,otc alterations permit,04/17/2013,0222A,070,1170,,Sacramento,St,19,B,unit #19b -revision to appl #2012.02.28.4991 - revised exterior railing.,complete,12/23/2013,04/17/2013,04/22/2013,12/23/2013,,,19,19,,,04/17/2014,10000,10000,apartments,73,apartments,72,2,,1,constr type 1,1,constr type 1,,3,Nob Hill,94108,"(37.79293048567304, -122.41218963211746)",1302004463246,16,6,3,21,28857,3,10,1,2
201304184823,8,otc alterations permit,04/18/2013,1010,006,3516,,Sacramento,St,,,to complete work and obtain final inspection for work approved under original pa 200007316493,expired,02/03/2017,04/18/2013,04/18/2013,,,,2,2,,,04/13/2014,39000,39000,office,,office,0,0,,5,wood frame (5),5,wood frame (5),,2,Presidio Heights,94118,"(37.78794551577577, -122.45072253018225)",130203887009,10,8,6,31,54,11,1,9,11
