the_geom,OBJECTID,record_id,date_opened,record_status,date_closed,address,record_type,record_type_category,record_type_group,record_type_subtype,record_type_type,record_type_4level,record_name,description,planner_id,module,templateid,parent,children,constructcost,planner_name,planner_email,planner_phone,acalink,aalink,CHANGE_OF_USE,ADDITIONS,NEW_CONSTRUCTION,LEG_ZONE_CHANGE,DEMOLITION,LOT_LINE_ADJUST,FACADE_ALT,ROW_IMPROVE,OTHER_PRJ_DESC,SPECIAL_NEEDS,SENIOR,AFFORDABLE_UNITS,STUDENT,INCLUSIONARY,STATE_DENSITY_BONUS,ADU,FORMULA_RETAIL,MCD,TOBACCO,FINANCIAL,MASSAGE,MCD_REFERRAL,OTHER_NON_RES,ENVIRONMENTAL_REVIEW_TYPE,LAND_USE_RC_EXIST,LAND_USE_RC_PROP,LAND_USE_RC_NET,LAND_USE_RESIDENTIAL_EXIST,LAND_USE_RESIDENTIAL_PROP,LAND_USE_RESIDENTIAL_NET,LAND_USE_CIE_EXIST,LAND_USE_CIE_PROP,LAND_USE_CIE_NET,LAND_USE_PDR_EXIST,LAND_USE_PDR_PROP,LAND_USE_PDR_NET,LAND_USE_OFFICE_EXIST,LAND_USE_OFFICE_PROP,LAND_USE_OFFICE_NET,LAND_USE_MEDICAL_EXIST,LAND_USE_MEDICAL_PROP,LAND_USE_MEDICAL_NET,LAND_USE_VISITOR_EXIST,LAND_USE_VISITOR_PROP,LAND_USE_VISITOR_NET,LAND_USE_PARKING_SPACES_EXIST,LAND_USE_PARKING_SPACES_PROP,LAND_USE_PARKING_SPACES_NET,PRJ_FEATURE_AFFORDABLE_EXIST,PRJ_FEATURE_AFFORDABLE_PROP,PRJ_FEATURE_AFFORDABLE_NET,PRJ_FEATURE_HOTEL_ROOMS_EXIST,PRJ_FEATURE_HOTEL_ROOMS_PROP,PRJ_FEATURE_HOTEL_ROOMS_NET,PRJ_FEATURE_MARKET_RATE_EXIST,PRJ_FEATURE_MARKET_RATE_PROP,PRJ_FEATURE_MARKET_RATE_NET,PRJ_FEATURE_BUILD_EXIST,PRJ_FEATURE_BUILD_PROP,PRJ_FEATURE_BUILD_NET,PRJ_FEATURE_STORIES_EXIST,PRJ_FEATURE_STORIES_PROP,PRJ_FEATURE_STORIES_NET,PRJ_FEATURE_PARKING_EXIST,PRJ_FEATURE_PARKING_PROP,PRJ_FEATURE_PARKING_NET,PRJ_FEATURE_LOADING_EXIST,PRJ_FEATURE_LOADING_PROP,PRJ_FEATURE_LOADING_NET,PRJ_FEATURE_BIKE_EXIST,PRJ_FEATURE_BIKE_PROP,PRJ_FEATURE_BIKE_NET,PRJ_FEATURE_CAR_SHARE_EXIST,PRJ_FEATURE_CAR_SHARE_PROP,PRJ_FEATURE_CAR_SHARE_NET,PRJ_FEATURE_USABLE_EXIST,PRJ_FEATURE_USABLE_PROP,PRJ_FEATURE_USABLE_NET,PRJ_FEATURE_PUBLIC_EXIST,PRJ_FEATURE_PUBLIC_PROP,PRJ_FEATURE_PUBLIC_NET,PRJ_FEATURE_ART_EXIST,PRJ_FEATURE_ART_PROP,PRJ_FEATURE_ART_NET,PRJ_FEATURE_ROOF_EXIST,PRJ_FEATURE_ROOF_PROP,PRJ_FEATURE_ROOF_NET,PRJ_FEATURE_SOLAR_EXIST,PRJ_FEATURE_SOLAR_PROP,PRJ_FEATURE_SOLAR_NET,PRJ_FEATURE_LIVING_EXIST,PRJ_FEATURE_LIVING_PROP,PRJ_FEATURE_LIVING_NET,PRJ_FEATURE_OTHER,PRJ_FEATURE_OTHER_EXIST,PRJ_FEATURE_OTHER_PROP,PRJ_FEATURE_OTHER_NET,RESIDENTIAL_STUDIO_EXIST,RESIDENTIAL_STUDIO_PROP,RESIDENTIAL_STUDIO_NET,RESIDENTIAL_1BR_EXIST,RESIDENTIAL_1BR_PROP,RESIDENTIAL_1BR_NET,RESIDENTIAL_2BR_EXIST,RESIDENTIAL_2BR_PROP,RESIDENTIAL_2BR_NET,RESIDENTIAL_3BR_EXIST,RESIDENTIAL_3BR_PROP,RESIDENTIAL_3BR_NET,RESIDENTIAL_ADU_STUDIO_EXIST,RESIDENTIAL_ADU_STUDIO_PROP,RESIDENTIAL_ADU_STUDIO_NET,RESIDENTIAL_ADU_STUDIO_AREA,RESIDENTIAL_ADU_1BR_EXIST,RESIDENTIAL_ADU_1BR_PROP,RESIDENTIAL_ADU_1BR_NET,RESIDENTIAL_ADU_1BR_AREA,RESIDENTIAL_ADU_2BR_EXIST,RESIDENTIAL_ADU_2BR_PROP,RESIDENTIAL_ADU_2BR_NET,RESIDENTIAL_ADU_2BR_AREA,RESIDENTIAL_ADU_3BR_EXIST,RESIDENTIAL_ADU_3BR_PROP,RESIDENTIAL_ADU_3BR_NET,RESIDENTIAL_ADU_3BR_AREA,RESIDENTIAL_GH_ROOMS_EXIST,RESIDENTIAL_GH_ROOMS_PROP,RESIDENTIAL_GH_ROOMS_NET,RESIDENTIAL_GH_BEDS_EXIST,RESIDENTIAL_GH_BEDS_PROP,RESIDENTIAL_GH_BEDS_NET,RESIDENTIAL_SRO_EXIST,RESIDENTIAL_SRO_PROP,RESIDENTIAL_SRO_NET,RESIDENTIAL_MICRO_EXIST,RESIDENTIAL_MICRO_PROP,RESIDENTIAL_MICRO_NET,RELATED_BUILDING_PERMIT,BOS_1ST_READ,BOS_2ND_READ,COM_HEARING,MAYORAL_SIGN,TRANSMIT_DATE_BOS,COM_HEARING_DATE_BOS,Shape_Length,Shape_Area
"MULTIPOLYGON (((-122.390146674 37.787310971, -122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.389962894 37.787722742, -122.389797269 37.787587174, -122.390146674 37.787310971)))",90011,2007.1121X,09/27/2007 12:00:00 AM +0000,Closed - Approved,05/14/2009 12:00:00 AM +0000,"429 BEALE ST, SAN FRANCISCO, CA 94105",Downtown Exception-309 (DNX),DNX,Planning,Planning Entitlements,Applications,Planning/Applications/Planning Entitlements/DNX,429 BEALE ST,"Demolition of existing structures, construction of a new 8 story 84 foot building with 113 dwelling units and 57 parking spaces",BFU,Planning,07HIS-00000-01F3D,2007.1121,,17750000,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=07HIS&capID2=00000&capID3=01F3D&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=07HIS&ID2=00000&ID3=01F3D&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002165989168758,0.000000181584435
"MULTIPOLYGON (((-122.468301019 37.781010049, -122.468320849 37.781283944, -122.46847631 37.781276922, -122.468481293 37.781345752, -122.468066733 37.781364478, -122.467647697 37.781383405, -122.467622886 37.781040678, -122.468301019 37.781010049)))",94663,2007.0023,01/04/2007 12:00:00 AM +0000,Closed,,"389 09TH AV, SAN FRANCISCO, CA 94118",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,378 10TH AV,WTS installation of approximately six panel antennas and associated cabinets.,,Planning,07HIS-00000-01D0V,,2007.0023C,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=07HIS&capID2=00000&capID3=01D0V&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=07HIS&ID2=00000&ID3=01D0V&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002356135749836,0.000000243909833
"MULTIPOLYGON (((-122.46678637 37.758794114, -122.46689862 37.758789175, -122.46690341 37.758857728, -122.466487121 37.758876043, -122.466482332 37.75880749, -122.466527327 37.75880551, -122.466613674 37.758801712, -122.466700021 37.758797913, -122.46678637 37.758794114)))",162349,88-171,01/01/1988 12:00:00 AM +0000,Closed,05/09/2016 12:00:00 AM +0000,,Appeals (APL),APL,Planning,Appeal,Applications,Planning/Applications/Appeal/APL,1578 10TH AV,,,Planning,88HIS-00000-024NU,,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=88HIS&capID2=00000&capID3=024NU&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=88HIS&ID2=00000&ID3=024NU&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000970822610227,0.000000028625444
"MULTIPOLYGON (((-122.466759043 37.756791147, -122.466574171 37.756799281, -122.466564339 37.756658536, -122.466749211 37.756650402, -122.466759043 37.756791147)))",92118,2007.0530,06/04/2007 12:00:00 AM +0000,Closed,05/09/2016 12:00:00 AM +0000,"1698 10TH AV, SAN FRANCISCO, CA 94122",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,1698 10TH AV,"The proposal is to construct a horizontal addition to northern side of the subject dwelling in order to incorporate a second dwelling unit and a second parking space in Zoning District RH-2. The addition is two stories and approximately 420 square feet on each floor. The proposal conforms to the requirements of the RH-2 (Residential, House, Two-Family) District.",,Planning,07HIS-00000-01BDB,,2007.0530D,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=07HIS&capID2=00000&capID3=01BDB&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=07HIS&ID2=00000&ID3=01BDB&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000652277703302,0.000000026099783
"MULTIPOLYGON (((-122.467859591 37.775572971, -122.467945948 37.77556904, -122.468062828 37.775563717, -122.46806779 37.775632263, -122.467648658 37.775651347, -122.467643697 37.775582803, -122.467686876 37.775580836, -122.467772442 37.775576941, -122.467859591 37.775572971)))",64823,11821_ENF,07/23/2012 12:00:00 AM +0000,Closed - Abated,03/27/2013 12:00:00 AM +0000,"678 10TH AVE, SAN FRANCISCO, CA 94118",Enforcement (ENF),ENF,Planning,Code Enforcement,Complaint,Planning/Complaint/Code Enforcement/ENF,678 10TH AV,"operating a residential Adult Care center, unclear if it is licensed and with permits, not ADA accessible",RRACHNA,Planning,12HIS-00000-002TE,,,0,Rachna Rachna,Rachna.Rachna@sfgov.org,415-575-6806,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=12HIS&capID2=00000&capID3=002TE&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=12HIS&ID2=00000&ID3=002TE&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000976580238127,0.000000028824057
"MULTIPOLYGON (((-122.466780014 37.763042601, -122.467194508 37.763024399, -122.467200255 37.763106663, -122.467205044 37.763175216, -122.46679055 37.763193418, -122.466785761 37.763124865, -122.466780014 37.763042601)))",165206,1986.146C,03/17/1986 12:00:00 AM +0000,Closed - Approved,06/12/1986 12:00:00 AM +0000,"1348 10TH AV, SAN FRANCISCO, CA 94122",Conditional Use Authorization (CUA),CUA,Planning,Planning Entitlements,Applications,Planning/Applications/Planning Entitlements/CUA,1338 10th Ave,Expansion of a school involving loss of one dwelling unit in an RH-2 district,,Planning,86HIS-00000-00C0E,1986.146,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=86HIS&capID2=00000&capID3=00C0E&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=86HIS&ID2=00000&ID3=00C0E&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00113215607749,0.000000062704518
"MULTIPOLYGON (((-122.423674693 37.767604327, -122.423591902 37.76760933, -122.423488412 37.767615585, -122.423391823 37.767621422, -122.423305583 37.767626633, -122.423167597 37.767634971, -122.423084806 37.767639975, -122.423002015 37.767644977, -122.422915774 37.767650189, -122.422829534 37.7676554, -122.422743293 37.767660612, -122.422639804 37.767666864, -122.422294907 37.767687704, -122.422192516 37.766618728, -122.424020727 37.76650825, -122.424039093 37.766699941, -122.42414258 37.766693687, -122.424225845 37.767562755, -122.42377222 37.767590171, -122.423741173 37.767592047, -122.423741961 37.767600262, -122.423674693 37.767604327)))",120360,2002.0809C,12/05/2002 12:00:00 AM +0000,Closed - Approved,06/26/2003 12:00:00 AM +0000,"340 VALENCIA ST, SAN FRANCISCO, CA",Conditional Use Authorization (CUA),CUA,Planning,Planning Entitlements,Applications,Planning/Applications/Planning Entitlements/CUA,340-370 VALENCIA ST,"03/06/2003 Shadow Study Prop. K 
The proposed project would demolish the 22 three-story buildings and construct 17 three story affordable housing structures containing a total of 247 units, plus community space and child care designed as a PUD with exceptions from parking and loading requirements.",JPURVIS,Planning,02HIS-00000-00ZWL,2002.0809,,0,Jonathan Purvis,jonathan.purvis@sfgov.org,415-558-6354,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=02HIS&capID2=00000&capID3=00ZWL&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=02HIS&ID2=00000&ID3=00ZWL&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006018209451418,0.000002052953521
"MULTIPOLYGON (((-122.420392255 37.765559672, -122.420495741 37.765553422, -122.420548187 37.766101109, -122.419919804 37.766139067, -122.419896549 37.76589619, -122.41989127 37.765841061, -122.419867363 37.765591378, -122.420074335 37.765578876, -122.420185282 37.765572174, -122.420392255 37.765559672)))",21951,2016-001514CUA,09/07/2016 12:00:00 AM +0000,Submitted,,1950 MISSION ST 94103,Conditional Use Authorization (CUA),CUA,Planning,Planning Entitlements,Applications,Planning/Applications/Planning Entitlements/CUA,1950 MISSION ST,"Approved Priority Processing for 100% Affordable Housing project: Construct 2 buildings (a 5 story and 9 story) with 157 units of affordable housing including studio, Junior 1 bedroom, 1 bedroom, 2  bedroom and 3  bedroom apartments.  In addition to housing, the development will include amenity space, artist's alleys, a childcare center, and community based non-profit space.",VLEWIS,Planning,16CAP-00000-008WQ,2016-001514PRJ,,69359970,Victoria Lewis,victoria.lewis@sfgov.org,415-575-9175,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=16CAP&capID2=00000&capID3=008WQ&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=16CAP&ID2=00000&ID3=008WQ&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002359437919444,0.000000346147294
"MULTIPOLYGON (((-122.46678637 37.758794114, -122.46689862 37.758789175, -122.46690341 37.758857728, -122.466487121 37.758876043, -122.466482332 37.75880749, -122.466527327 37.75880551, -122.466613674 37.758801712, -122.466700021 37.758797913, -122.46678637 37.758794114)))",142856,1997.055Q,12/09/1997 12:00:00 AM +0000,Closed - Approved,02/02/1998 12:00:00 AM +0000,"1578 10TH AV, SAN FRANCISCO, CA 94122",Condo-REF (CND),CND,Planning,Referral,Applications,Planning/Applications/Referral/CND,1578 - 10th Avenue,Demolition of existing building and new construction of a two-family dwelling.,AFALLAY,Planning,97HIS-00000-00RER,1997.055,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=97HIS&capID2=00000&capID3=00RER&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=97HIS&ID2=00000&ID3=00RER&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000970822610227,0.000000028625444
"MULTIPOLYGON (((-122.433461599 37.789441367, -122.433489425 37.789579538, -122.43353668 37.789803255, -122.432926626 37.789880223, -122.432853514 37.7895187, -122.432938794 37.789507856, -122.433025927 37.789496774, -122.433113062 37.789485693, -122.433200197 37.789474611, -122.43328733 37.78946353, -122.433374465 37.789452449, -122.433461599 37.789441367)))",3790,2017-016475ENF,12/18/2017 12:00:00 AM +0000,Submitted,,2451 SACRAMENTO ST 94115,Enforcement (ENF),ENF,Planning,Code Enforcement,Complaint,Planning/Complaint/Code Enforcement/ENF,2451 Sacramento St,"JFK Memorial Building - Apt 601. Asked to move out of apt to another apt and to move back. Didn't do stuff they should do. Dust still on the ceiling and still dealing with Lead paint; Paratransit cannot pick up because don't have parking spot. Didn't have the courtesy to respect occupant. Dust come in from window during construction. At end of my rope. Want to know the number of the report on the number.  / Illegal work occurring on property on roof, walls, and electrical. The illegal work is creating unsafe living environment for senior with cancer. DBI Complaint 201727904",JCHEN,Planning,17CAP-00000-00CPO,,,0,Josephine Chen,josephine.chen@sfgov.org,415-575-9199,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=17CAP&capID2=00000&capID3=00CPO&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=17CAP&ID2=00000&ID3=00CPO&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001966312998238,0.000000225867927
"MULTIPOLYGON (((-122.390146674 37.787310971, -122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.389962894 37.787722742, -122.389797269 37.787587174, -122.390146674 37.787310971)))",81439,09-053,05/29/2009 12:00:00 AM +0000,Closed - Appeal Denied,09/09/2009 12:00:00 AM +0000,,Appeals (APL),APL,Planning,Appeal,Applications,Planning/Applications/Appeal/APL,430 Main St,,BFU,Planning,09HIS-00000-0013U,2007.1121,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=09HIS&capID2=00000&capID3=0013U&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=09HIS&ID2=00000&ID3=0013U&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002165989168758,0.000000181584435
"MULTIPOLYGON (((-122.390146674 37.787310971, -122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.389962894 37.787722742, -122.389797269 37.787587174, -122.390146674 37.787310971)))",89994,2007.1121K,09/27/2007 12:00:00 AM +0000,Closed - Approved,02/12/2009 12:00:00 AM +0000,"429 BEALE ST, SAN FRANCISCO, CA 94105",Shadow Study (SHD),SHD,Planning,Planning Entitlements,Applications,Planning/Applications/Planning Entitlements/SHD,429 BEALE ST,"Demolition of existing structures, construction of a new 8 story 84 foot building with 113 dwelling units and 57 parking spaces",BFU,Planning,07HIS-00000-01F3B,2007.1121,,17750000,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=07HIS&capID2=00000&capID3=01F3B&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=07HIS&ID2=00000&ID3=01F3B&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002165989168758,0.000000181584435
"MULTIPOLYGON (((-122.43353668 37.789803255, -122.433489425 37.789579538, -122.433668832 37.789556902, -122.433697625 37.789699266, -122.433701043 37.789698834, -122.433717546 37.789780436, -122.43353668 37.789803255)))",18277,2016-015839PRV,12/12/2016 12:00:00 AM +0000,Closed - Informational,01/11/2017 12:00:00 AM +0000,2451 Sacramento ST 94115,Project Review Meetings (PRV),PRV,Planning,Project Review,Applications,Planning/Applications/Project Review/PRV,2451 Sacramento Street,"Sacramento Street (0636/037); Project Review meeting to discuss a new, 4-story, 7-unit residential building with basement parking.",CMAY,Planning,16CAP-00000-00C7Z,,,0,Christopher May,christopher.may@sfgov.org,415-575-9087,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=16CAP&capID2=00000&capID3=00C7Z&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=16CAP&ID2=00000&ID3=00C7Z&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000823728197449,0.000000041267252
"MULTIPOLYGON (((-122.423674693 37.767604327, -122.423591902 37.76760933, -122.423488412 37.767615585, -122.423391823 37.767621422, -122.423305583 37.767626633, -122.423167597 37.767634971, -122.423084806 37.767639975, -122.423002015 37.767644977, -122.422915774 37.767650189, -122.422829534 37.7676554, -122.422743293 37.767660612, -122.422639804 37.767666864, -122.422294907 37.767687704, -122.422192516 37.766618728, -122.424020727 37.76650825, -122.424039093 37.766699941, -122.42414258 37.766693687, -122.424225845 37.767562755, -122.42377222 37.767590171, -122.423741173 37.767592047, -122.423741961 37.767600262, -122.423674693 37.767604327)))",122526,2002.0809,07/17/2002 12:00:00 AM +0000,Closed,,"340 VALENCIA ST, SAN FRANCISCO, CA",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,340-370 VALENCIA ST,"03/06/2003 Shadow Study Prop. K 
The proposed project would demolish the 22 three-story buildings and construct 17 three story affordable housing structures containing a total of 247 units, plus community space and child care designed as a PUD with exceptions from parking and loading requirements.",,Planning,02HIS-00000-00ZWK,,"2002.0809C,2002.0809E,2002.0809F,2002.0809K",0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=02HIS&capID2=00000&capID3=00ZWK&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=02HIS&ID2=00000&ID3=00ZWK&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.006018209451418,0.000002052953521
"MULTIPOLYGON (((-122.390146674 37.787310971, -122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.389962894 37.787722742, -122.389797269 37.787587174, -122.390146674 37.787310971)))",92516,6559PRV,05/10/2007 12:00:00 AM +0000,Closed - Informational,05/23/2007 12:00:00 AM +0000,"429 BEALE ST, SAN FRANCISCO, CA 94105",Project Review Meetings (PRV),PRV,Planning,Project Review,Applications,Planning/Applications/Project Review/PRV,430 Main St. & 429 Beale St. - Demolish existing 2-story industrial building & construct a 9-story residential building with 200 u,430 Main St. & 429 Beale St. - Demolish existing 2-story industrial building & construct a 9-story residential building with 200 units and 100 parking spaces.,BFU,Planning,07HIS-00000-0212R,,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=07HIS&capID2=00000&capID3=0212R&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=07HIS&ID2=00000&ID3=0212R&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002165989168758,0.000000181584435
